Measure Names,Neighborhooods,Avg. On Scene to Hospital Avg. Recieving Call to On Scene
Avg. On Scene to Hospital,Western Addition,32.808698496
Avg. On Scene to Hospital,West of Twin Peaks,37.236884803
Avg. On Scene to Hospital,Visitacion Valley,38.465656566
Avg. On Scene to Hospital,Twin Peaks,38.849122807
Avg. On Scene to Hospital,Treasure Island,39.510385757
Avg. On Scene to Hospital,Tenderloin,30.181577665
Avg. On Scene to Hospital,Sunset-Parkside,38.477116363
Avg. On Scene to Hospital,South of Market,43.576995263
Avg. On Scene to Hospital,Seacliff,40.430107527
Avg. On Scene to Hospital,Russian Hill,35.849019608
Avg. On Scene to Hospital,Presidio Heights,33.525451560
Avg. On Scene to Hospital,Presidio,40.053956835
Avg. On Scene to Hospital,Potrero Hill,30.099853157
Avg. On Scene to Hospital,Portola,36.907002188
Avg. On Scene to Hospital,Pacific Heights,33.990196078
Avg. On Scene to Hospital,Outer Richmond,36.434940384
Avg. On Scene to Hospital,Outer Mission,35.953198128
Avg. On Scene to Hospital,Oceanview-Merced-Ingleside,37.548966757
Avg. On Scene to Hospital,North Beach,37.887409201
Avg. On Scene to Hospital,Noe Valley,35.805601318
Avg. On Scene to Hospital,Nob Hill,30.415963162
Avg. On Scene to Hospital,Mission Bay,37.147270115
Avg. On Scene to Hospital,Mission,29.817896207
Avg. On Scene to Hospital,McLaren Park,39.671641791
Avg. On Scene to Hospital,Marina,36.167424242
Avg. On Scene to Hospital,Lone Mountain-USF,31.382256298
Avg. On Scene to Hospital,Lincoln Park,34.527777778
Avg. On Scene to Hospital,Lakeshore,41.715215622
Avg. On Scene to Hospital,Japantown,33.257425743
Avg. On Scene to Hospital,Inner Sunset,31.447653430
Avg. On Scene to Hospital,Inner Richmond,33.5
Avg. On Scene to Hospital,Hayes Valley,30.950051493
Avg. On Scene to Hospital,Haight Ashbury,28.665420561
Avg. On Scene to Hospital,Golden Gate Park,34.216577540
Avg. On Scene to Hospital,Glen Park,36.970588235
Avg. On Scene to Hospital,Financial District-South Beach,35.894659571
Avg. On Scene to Hospital,Excelsior,38.609470468
Avg. On Scene to Hospital,Chinatown,34.539939940
Avg. On Scene to Hospital,Castro-Upper Market,29.661290323
Avg. On Scene to Hospital,Bernal Heights,32.112781955
Avg. On Scene to Hospital,Bayview Hunters Point,36.310843910
Avg. Recieving Call to On Scene,Bayview Hunters Point,12.765670367
Avg. Recieving Call to On Scene,Bernal Heights,12.456294667
Avg. Recieving Call to On Scene,Castro-Upper Market,10.597254771
Avg. Recieving Call to On Scene,Chinatown,12.801075269
Avg. Recieving Call to On Scene,Excelsior,12.764804003
Avg. Recieving Call to On Scene,Financial District-South Beach,12.462982690
Avg. Recieving Call to On Scene,Glen Park,12.413173653
Avg. Recieving Call to On Scene,Golden Gate Park,11.166058394
Avg. Recieving Call to On Scene,Haight Ashbury,10.161267606
Avg. Recieving Call to On Scene,Hayes Valley,10.627347859
Avg. Recieving Call to On Scene,Inner Richmond,11.203942381
Avg. Recieving Call to On Scene,Inner Sunset,11.133098592
Avg. Recieving Call to On Scene,Japantown,11.839382940
Avg. Recieving Call to On Scene,Lakeshore,15.273955774
Avg. Recieving Call to On Scene,Lincoln Park,13.967741935
Avg. Recieving Call to On Scene,Lone Mountain-USF,11.055379747
Avg. Recieving Call to On Scene,Marina,12.135949943
Avg. Recieving Call to On Scene,McLaren Park,14.181818182
Avg. Recieving Call to On Scene,Mission,10.322125436
Avg. Recieving Call to On Scene,Mission Bay,13.113896458
Avg. Recieving Call to On Scene,Nob Hill,10.318509962
Avg. Recieving Call to On Scene,Noe Valley,12.080552359
Avg. Recieving Call to On Scene,North Beach,13.391815616
Avg. Recieving Call to On Scene,Oceanview-Merced-Ingleside,12.513129879
Avg. Recieving Call to On Scene,Outer Mission,13.184288246
Avg. Recieving Call to On Scene,Outer Richmond,13.197874080
Avg. Recieving Call to On Scene,Pacific Heights,11.373215165
Avg. Recieving Call to On Scene,Portola,13.089777778
Avg. Recieving Call to On Scene,Potrero Hill,11.438926941
Avg. Recieving Call to On Scene,Presidio,14.504109589
Avg. Recieving Call to On Scene,Presidio Heights,12.307989691
Avg. Recieving Call to On Scene,Russian Hill,11.708896797
Avg. Recieving Call to On Scene,Seacliff,12.817391304
Avg. Recieving Call to On Scene,South of Market,2.503798867
Avg. Recieving Call to On Scene,Sunset-Parkside,13.087472740
Avg. Recieving Call to On Scene,Tenderloin,10.692394700
Avg. Recieving Call to On Scene,Treasure Island,15.146376812
Avg. Recieving Call to On Scene,Twin Peaks,13.076583211
Avg. Recieving Call to On Scene,Visitacion Valley,14.362459547
Avg. Recieving Call to On Scene,West of Twin Peaks,12.003700658
Avg. Recieving Call to On Scene,Western Addition,11.084633086
