Call Type Group,Neighborhooods,Avg. Recieving Call to Hospital
Potentially Life-Threatening,Western Addition,41.437912088
Potentially Life-Threatening,West of Twin Peaks,47.334626576
Potentially Life-Threatening,Visitacion Valley,50.504950495
Potentially Life-Threatening,Twin Peaks,49.478527607
Potentially Life-Threatening,Treasure Island,57.828431373
Potentially Life-Threatening,Tenderloin,38.490917452
Potentially Life-Threatening,Sunset-Parkside,49.123501824
Potentially Life-Threatening,South of Market,41.161501064
Potentially Life-Threatening,Seacliff,48.089285714
Potentially Life-Threatening,Russian Hill,44.664902998
Potentially Life-Threatening,Presidio Heights,43.518292683
Potentially Life-Threatening,Presidio,51.387096774
Potentially Life-Threatening,Potrero Hill,39.442928040
Potentially Life-Threatening,Portola,47.793296089
Potentially Life-Threatening,Pacific Heights,43.180131004
Potentially Life-Threatening,Outer Richmond,46.525514772
Potentially Life-Threatening,Outer Mission,45.689703808
Potentially Life-Threatening,Oceanview-Merced-Ingleside,48.368267831
Potentially Life-Threatening,North Beach,48.6
Potentially Life-Threatening,Noe Valley,44.723756906
Potentially Life-Threatening,Nob Hill,38.401333333
Potentially Life-Threatening,Mission Bay,47.748010610
Potentially Life-Threatening,Mission,38.085031913
Potentially Life-Threatening,McLaren Park,51.030303030
Potentially Life-Threatening,Marina,46.475260417
Potentially Life-Threatening,Lone Mountain-USF,40.692307692
Potentially Life-Threatening,Lincoln Park,47.166666667
Potentially Life-Threatening,Lakeshore,54.673652695
Potentially Life-Threatening,Japantown,42.534420290
Potentially Life-Threatening,Inner Sunset,41.780487805
Potentially Life-Threatening,Inner Richmond,41.985611511
Potentially Life-Threatening,Hayes Valley,40.083478261
Potentially Life-Threatening,Haight Ashbury,37.300518135
Potentially Life-Threatening,Golden Gate Park,42.546961326
Potentially Life-Threatening,Glen Park,47.395061728
Potentially Life-Threatening,Financial District-South Beach,46.274678112
Potentially Life-Threatening,Excelsior,49.162358643
Potentially Life-Threatening,Chinatown,45.278026906
Potentially Life-Threatening,Castro-Upper Market,38.162431942
Potentially Life-Threatening,Bernal Heights,42.148594378
Potentially Life-Threatening,Bayview Hunters Point,47.105187835
Non Life-threatening,Western Addition,47.406639004
Non Life-threatening,West of Twin Peaks,51.776100629
Non Life-threatening,Visitacion Valley,56.334239130
Non Life-threatening,Twin Peaks,55.25
Non Life-threatening,Treasure Island,60.449612403
Non Life-threatening,Tenderloin,44.640101892
Non Life-threatening,Sunset-Parkside,54.968658892
Non Life-threatening,South of Market,46.505083996
Non Life-threatening,Seacliff,59.428571429
Non Life-threatening,Russian Hill,50.870159453
Non Life-threatening,Presidio Heights,48.936567164
Non Life-threatening,Presidio,55.569444444
Non Life-threatening,Potrero Hill,44.442804428
Non Life-threatening,Portola,52.856749311
Non Life-threatening,Pacific Heights,48.359307359
Non Life-threatening,Outer Richmond,53.123882503
