Neighborhood,Year,Alarm,Fire,Potentially Life-Threatening,Non Life-threatening
Inner Richmond,2013,4.737463127,8.993464052,4.872568746,7
Nob Hill,2013,3.961082107,3.652542373,4.909390939,7.754847645
Mission,2013,4.223460722,7.734463277,5.026976469,8
Nob Hill,2018,4.11252354,5.58,5.104424779,8.7095
Nob Hill,2017,4.199144487,5.337579618,5.109759394,8.439215686
Mission,2017,4.288416764,5.607250755,5.112724816,8
Western Addition,2013,3.64379562,5.913461538,5.132002075,8
Mission,2012,4.443748135,11.09855952,5.165426562,8
Inner Richmond,2015,4.733056708,7.044444444,5.185685348,7.918230563
Inner Richmond,2017,4.648314607,7.863354037,5.200983405,8
Tenderloin,2013,3.903320492,7.983606557,5.201372561,9
Castro/Upper Market,2013,4.186234818,4.45323741,5.21025641,8.301785714
Hayes Valley,2013,4.109643329,5.191176471,5.218332732,8.441368078
Mission,2016,4.255050505,6.446153846,5.225676762,9
Haight Ashbury,2018,4.61,5.410526316,5.229020979,8.233901515
Castro/Upper Market,2017,4.493523316,4.795275591,5.233630495,8.118701008
Pacific Heights,2013,4.03030303,5.012903226,5.236443884,7.592028136
Inner Richmond,2012,4.816513761,7.928888889,5.238237491,8
Haight Ashbury,2013,4.680412371,5.722972973,5.241992883,7.89747004
Western Addition,2012,6.018002323,5.052837573,5.244492208,8
Mission,2018,4.370855615,4.791896869,5.24948361,9
Nob Hill,2016,3.869218501,5.324074074,5.250514403,8.29110982
Nob Hill,2012,4.018674699,5.217557252,5.251557401,8
Pacific Heights,2012,4.324304539,4.790450928,5.259237187,8
Haight Ashbury,2015,4.685889571,6.510948905,5.265102346,9.041156841
Nob Hill,2015,3.890817725,4.970149254,5.27034733,8.717978848
Lone Mountain/USF,2013,4.806962025,5.438202247,5.277059774,7.254086181
Haight Ashbury,2017,4.519337017,7.556451613,5.294455067,8.894359893
Hayes Valley,2012,4.173704415,4.168246445,5.298193881,8
Nob Hill,2019,4.090751194,5.95035461,5.302294197,8.760460251
Inner Richmond,2016,4.843626807,6.979591837,5.302469136,8.049937578
Mission,2019,4.374098991,7.357245337,5.302475871,9
Castro/Upper Market,2018,4.392883079,5.471111111,5.31465951,8
Haight Ashbury,2019,4.349845201,8.946969697,5.345885635,9
Inner Richmond,2018,4.739808153,5.464646465,5.347855228,8.84
Tenderloin,2012,4.001506672,8.278557114,5.372114619,9
Castro/Upper Market,2012,4.149165849,6.885583524,5.378743146,8
Haight Ashbury,2012,4.713153724,15.88673139,5.389718076,9
Mission,2015,4.356902357,14,5.390833634,9
Chinatown,2013,3.561048689,5.910714286,5.396245561,8.954499494
Russian Hill,2013,4.446014127,7.862559242,5.413626979,9
Lone Mountain/USF,2017,4.425120773,4.710144928,5.416988417,8.629719854
Castro/Upper Market,2015,4.426791277,6.921487603,5.418702024,9
Lone Mountain/USF,2012,5.099415205,4.734234234,5.424669604,7
Lone Mountain/USF,2014,4.629969419,5.679012346,5.442145594,8.368650218
Tenderloin,2019,4.326487992,4.863636364,5.444844358,10
Tenderloin,2017,4.307190796,5.797900262,5.446416346,10
Pacific Heights,2014,3.989721886,4.578947368,5.465104167,8.327977316
Noe Valley,2017,4.706480305,4.75,5.467413442,8.569078947
Inner Richmond,2014,4.617246596,5.197802198,5.467640919,8.225519288
Pacific Heights,2015,4.046648794,7.330357143,5.482041588,8.506505576
Pacific Heights,2016,3.978357734,5.416666667,5.505633803,8.462184874
Castro/Upper Market,2019,4.538909091,9.829268293,5.507220852,9
Hayes Valley,2017,4.475699558,5.815286624,5.507494647,8.904727273
Western Addition,2016,3.839430894,4.511627907,5.510426111,8.701096892
Tenderloin,2018,4.352011758,5.243315508,5.511347299,10
Haight Ashbury,2014,4.848133848,4.427272727,5.523919308,8.693243243
Japantown,2013,3.966101695,2.875,5.525911708,8.32790224
Western Addition,2014,3.758040574,4.947368421,5.536354327,8.473740053
Castro/Upper Market,2016,4.662269129,9.518691589,5.537665697,9
Haight Ashbury,2016,4.740208877,6.265060241,5.547764228,8.844270323
Marina,2013,4.300769231,9.744966443,5.563602015,8
Pacific Heights,2017,3.980512821,6.908333333,5.579439252,8.705933682
Inner Richmond,2019,4.860587002,5.073170732,5.584636302,9.10955711
Russian Hill,2015,4.825095057,6.561576355,5.591557669,9
South of Market,2013,4.127190503,5.166301969,5.596455974,9
Russian Hill,2016,4.536906854,5.076923077,5.606847698,8.889013453
Western Addition,2015,3.857142857,7.574712644,5.607783019,9
Mission,2014,4.331007536,6.725834798,5.607866747,9
Nob Hill,2014,4.004828585,5.104166667,5.623988439,8.783747482
Inner Sunset,2013,4.919850885,7.496598639,5.629241209,8
Tenderloin,2016,4.095199349,5.955631399,5.632096311,10
Hayes Valley,2019,4.166961652,5.067114094,5.649092179,9.044107512
Russian Hill,2018,4.703467153,9.230769231,5.65130674,9
Castro/Upper Market,2014,4.230541142,6.359322034,5.652,9
Hayes Valley,2018,4.233900814,5.157360406,5.661562998,9
Lone Mountain/USF,2015,4.665165165,5.378151261,5.668500688,8.116113744
Japantown,2017,4.146639511,4.875,5.670103093,9.010416667
Western Addition,2017,4.213953488,5.793650794,5.674612098,8.90722531
Tenderloin,2015,4.046507419,4.910447761,5.675338497,9.797422211
Western Addition,2019,4.123168498,5.190184049,5.676981671,9.280160858
Hayes Valley,2015,3.878164557,4.941176471,5.691114701,9.309439319
Japantown,2012,3.955696203,3.76056338,5.694783574,8.481395349
Presidio Heights,2012,5.077097506,7.112359551,5.711409396,8
Noe Valley,2019,4.468220339,5.841269841,5.715176715,8.643812709
South of Market,2012,4.32012454,5.336437718,5.726377071,10
Presidio Heights,2013,4.568627451,6.756097561,5.735598227,7.730310263
Golden Gate Park,2013,5.691860465,5.907692308,5.741007194,8.730077121
Inner Sunset,2017,5.381139489,7.146341463,5.741474147,8.378548896
Inner Sunset,2012,5.590405904,8.072874494,5.759310345,9
Pacific Heights,2018,4.060696517,4.858490566,5.759364359,8.570676032
Inner Sunset,2018,5.353862213,12.69230769,5.764173703,8
Presidio Heights,2016,4.42019544,4,5.780927835,8.776497696
Tenderloin,2014,4.130859375,7.153203343,5.788334784,10
Lone Mountain/USF,2018,4.563994374,5.072727273,5.793953858,8.289
Chinatown,2012,3.960441582,5.891089109,5.804417855,9
Golden Gate Park,2018,5.792307692,9.645714286,5.810810811,9
Financial District/South Beach,2013,4.864556667,6.634234234,5.813923348,10
Noe Valley,2016,4.355696203,8.141304348,5.827956989,8.170212766
Russian Hill,2017,4.655412115,8.245098039,5.841959972,8.960900474
Hayes Valley,2016,4.075822604,6.25,5.863210943,8.86878882
Pacific Heights,2019,4.164885496,5.260869565,5.868882733,8.82734375
South of Market,2017,4.486421081,5.648734177,5.869843158,10
Potrero Hill,2017,5.176141659,5.421348315,5.874332848,9.492227979
Japantown,2018,4.288503254,5.315789474,5.892098556,9.020661157
