Call Type,Hour of Entry Date and Time,Weekday of Entry Date and Time,Avg. Processing Minutes,Number of Records
Medical Incident,23,Monday,1.162994979,7635
Medical Incident,22,Monday,1.074591037,8762
Medical Incident,21,Monday,1.032036519,9292
Medical Incident,20,Monday,1.057527844,10056
Medical Incident,19,Monday,1.024076318,10727
Medical Incident,18,Monday,1.041593942,11115
Medical Incident,17,Monday,1.087043661,11742
Medical Incident,16,Monday,1.04245251,11792
Medical Incident,15,Monday,1.012450989,11987
Medical Incident,14,Monday,1.008919048,12563
Medical Incident,13,Monday,1.008877991,12439
Medical Incident,12,Monday,0.992213466,12436
Medical Incident,11,Monday,0.896281332,12128
Medical Incident,10,Monday,0.913481048,11960
Medical Incident,9,Monday,0.996459096,11193
Medical Incident,8,Monday,1.148585127,9247
Medical Incident,7,Monday,1.258153362,7316
Medical Incident,6,Monday,1.466320948,5544
Medical Incident,5,Monday,1.476454076,4453
Medical Incident,4,Monday,1.427561197,4412
Medical Incident,3,Monday,1.39670786,5017
Medical Incident,2,Monday,1.339946008,6112
Medical Incident,1,Monday,1.281104468,6356
Medical Incident,0,Monday,1.22321462,7132
Medical Incident,23,Tuesday,1.184245536,7692
Medical Incident,22,Tuesday,1.055479374,8824
Medical Incident,21,Tuesday,1.031205306,9649
Medical Incident,20,Tuesday,1.047445765,10264
Medical Incident,19,Tuesday,1.031103411,10389
Medical Incident,18,Tuesday,1.03352208,11126
Medical Incident,17,Tuesday,1.045100733,11648
Medical Incident,16,Tuesday,1.053580039,11890
Medical Incident,15,Tuesday,1.016683354,11985
Medical Incident,14,Tuesday,0.995676779,12163
Medical Incident,13,Tuesday,1.018646526,12181
Medical Incident,12,Tuesday,0.995826161,12199
Medical Incident,11,Tuesday,0.918643834,12088
Medical Incident,10,Tuesday,0.861073681,11577
Medical Incident,9,Tuesday,0.993473621,10621
Medical Incident,8,Tuesday,1.109651505,8838
Medical Incident,7,Tuesday,1.210238957,6905
Medical Incident,6,Tuesday,1.439396004,5138
Medical Incident,5,Tuesday,1.500660793,4313
Medical Incident,4,Tuesday,1.532084252,4083
Medical Incident,3,Tuesday,1.406859581,4648
Medical Incident,2,Tuesday,1.360528071,5498
Medical Incident,1,Tuesday,1.321120355,6010
Medical Incident,0,Tuesday,1.250215409,6654
Medical Incident,23,Wednesday,1.173398972,7719
